Production,dayOfYear,month_number,Hour,hour_sinhalf
3443.0,16,1,0,0.0
3125.0,16,1,1,0.1361666490962466
3004.0,16,1,2,0.2697967711570243
3083.0,16,1,3,0.39840108984624145
3471.0,16,1,4,0.5195839500354336
3908.0,16,1,5,0.6310879443260529
4576.0,16,1,6,0.730835964278124
5423.0,16,1,7,0.816969893010442
6297.0,16,1,8,0.8878852184023752
6841.0,16,1,9,0.9422609221188204
6881.0,16,1,10,0.9790840876823229
6637.0,16,1,11,0.9976687691905392
6760.0,16,1,12,0.9976687691905392
7295.0,16,1,13,0.9790840876823229
7681.0,16,1,14,0.9422609221188205
8178.0,16,1,15,0.8878852184023752
8600.0,16,1,16,0.8169698930104421
9438.0,16,1,17,0.7308359642781239
10606.0,16,1,18,0.631087944326053
11114.0,16,1,19,0.5195839500354339
11096.0,16,1,20,0.3984010898462414
11091.0,16,1,21,0.2697967711570243
10754.0,16,1,22,0.1361666490962471
10353.0,16,1,23,1.2246467991473532e-16
9927.0,17,1,0,0.0
9452.0,17,1,1,0.1361666490962466
9399.0,17,1,2,0.2697967711570243
9224.0,17,1,3,0.39840108984624145
8743.0,17,1,4,0.5195839500354336
8548.0,17,1,5,0.6310879443260529
8381.0,17,1,6,0.730835964278124
8557.0,17,1,7,0.816969893010442
8165.0,17,1,8,0.8878852184023752
7754.0,17,1,9,0.9422609221188204
7548.0,17,1,10,0.9790840876823229
7518.0,17,1,11,0.9976687691905392
8063.0,17,1,12,0.9976687691905392
8909.0,17,1,13,0.9790840876823229
9200.0,17,1,14,0.9422609221188205
8966.0,17,1,15,0.8878852184023752
8273.0,17,1,16,0.8169698930104421
7497.0,17,1,17,0.7308359642781239
7394.0,17,1,18,0.631087944326053
7085.0,17,1,19,0.5195839500354339
6769.0,17,1,20,0.3984010898462414
6622.0,17,1,21,0.2697967711570243
6358.0,17,1,22,0.1361666490962471
6422.0,17,1,23,1.2246467991473532e-16
6520.0,18,1,0,0.0
6372.0,18,1,1,0.1361666490962466
6024.0,18,1,2,0.2697967711570243
5696.0,18,1,3,0.39840108984624145
5158.0,18,1,4,0.5195839500354336
4687.0,18,1,5,0.6310879443260529
4013.0,18,1,6,0.730835964278124
3491.0,18,1,7,0.816969893010442
3067.0,18,1,8,0.8878852184023752
2657.0,18,1,9,0.9422609221188204
1920.0,18,1,10,0.9790840876823229
1077.0,18,1,11,0.9976687691905392
685.0,18,1,12,0.9976687691905392
646.0,18,1,13,0.9790840876823229
704.0,18,1,14,0.9422609221188205
929.0,18,1,15,0.8878852184023752
1243.0,18,1,16,0.8169698930104421
1775.0,18,1,17,0.7308359642781239
2519.0,18,1,18,0.631087944326053
3333.0,18,1,19,0.5195839500354339
3697.0,18,1,20,0.3984010898462414
4046.0,18,1,21,0.2697967711570243
3962.0,18,1,22,0.1361666490962471
3814.0,18,1,23,1.2246467991473532e-16
3857.0,19,1,0,0.0
3962.0,19,1,1,0.1361666490962466
4240.0,19,1,2,0.2697967711570243
4599.0,19,1,3,0.39840108984624145
5004.0,19,1,4,0.5195839500354336
5153.0,19,1,5,0.6310879443260529
5080.0,19,1,6,0.730835964278124
5056.0,19,1,7,0.816969893010442
5214.0,19,1,8,0.8878852184023752
5642.0,19,1,9,0.9422609221188204
5468.0,19,1,10,0.9790840876823229
4802.0,19,1,11,0.9976687691905392
4924.0,19,1,12,0.9976687691905392
5472.0,19,1,13,0.9790840876823229
6004.0,19,1,14,0.9422609221188205
6268.0,19,1,15,0.8878852184023752
5888.0,19,1,16,0.8169698930104421
5890.0,19,1,17,0.7308359642781239
6430.0,19,1,18,0.631087944326053
6772.0,19,1,19,0.5195839500354339
7096.0,19,1,20,0.3984010898462414
7200.0,19,1,21,0.2697967711570243
7129.0,19,1,22,0.1361666490962471
6964.0,19,1,23,1.2246467991473532e-16
6766.0,20,1,0,0.0
6534.0,20,1,1,0.1361666490962466
6231.0,20,1,2,0.2697967711570243
6099.0,20,1,3,0.39840108984624145
5840.0,20,1,4,0.5195839500354336
5845.0,20,1,5,0.6310879443260529
5973.0,20,1,6,0.730835964278124
6070.0,20,1,7,0.816969893010442
5897.0,20,1,8,0.8878852184023752
5465.0,20,1,9,0.9422609221188204
5012.0,20,1,10,0.9790840876823229
4804.0,20,1,11,0.9976687691905392
4934.0,20,1,12,0.9976687691905392
5289.0,20,1,13,0.9790840876823229
5500.0,20,1,14,0.9422609221188205
5515.0,20,1,15,0.8878852184023752
5302.0,20,1,16,0.8169698930104421
5262.0,20,1,17,0.7308359642781239
5486.0,20,1,18,0.631087944326053
5432.0,20,1,19,0.5195839500354339
5421.0,20,1,20,0.3984010898462414
5325.0,20,1,21,0.2697967711570243
4957.0,20,1,22,0.1361666490962471
4804.0,20,1,23,1.2246467991473532e-16
4713.0,21,1,0,0.0
4365.0,21,1,1,0.1361666490962466
4060.0,21,1,2,0.2697967711570243
3875.0,21,1,3,0.39840108984624145
3749.0,21,1,4,0.5195839500354336
3609.0,21,1,5,0.6310879443260529
3450.0,21,1,6,0.730835964278124
3496.0,21,1,7,0.816969893010442
3417.0,21,1,8,0.8878852184023752
3060.0,21,1,9,0.9422609221188204
2407.0,21,1,10,0.9790840876823229
1867.0,21,1,11,0.9976687691905392
1738.0,21,1,12,0.9976687691905392
1653.0,21,1,13,0.9790840876823229
1678.0,21,1,14,0.9422609221188205
1871.0,21,1,15,0.8878852184023752
2108.0,21,1,16,0.8169698930104421
2519.0,21,1,17,0.7308359642781239
3287.0,21,1,18,0.631087944326053
3788.0,21,1,19,0.5195839500354339
3949.0,21,1,20,0.3984010898462414
3903.0,21,1,21,0.2697967711570243
3836.0,21,1,22,0.1361666490962471
3634.0,21,1,23,1.2246467991473532e-16
3292.0,22,1,0,0.0
3111.0,22,1,1,0.1361666490962466
3145.0,22,1,2,0.2697967711570243
3090.0,22,1,3,0.39840108984624145
3213.0,22,1,4,0.5195839500354336
3589.0,22,1,5,0.6310879443260529
3843.0,22,1,6,0.730835964278124
4132.0,22,1,7,0.816969893010442
4047.0,22,1,8,0.8878852184023752
3887.0,22,1,9,0.9422609221188204
3647.0,22,1,10,0.9790840876823229
3232.0,22,1,11,0.9976687691905392
3019.0,22,1,12,0.9976687691905392
2890.0,22,1,13,0.9790840876823229
3058.0,22,1,14,0.9422609221188205
3378.0,22,1,15,0.8878852184023752
3652.0,22,1,16,0.8169698930104421
4457.0,22,1,17,0.7308359642781239
5349.0,22,1,18,0.631087944326053
6004.0,22,1,19,0.5195839500354339
6556.0,22,1,20,0.3984010898462414
6939.0,22,1,21,0.2697967711570243
6901.0,22,1,22,0.1361666490962471
6716.0,22,1,23,1.2246467991473532e-16
6865.0,23,1,0,0.0
6806.0,23,1,1,0.1361666490962466
6698.0,23,1,2,0.2697967711570243
6470.0,23,1,3,0.39840108984624145
5851.0,23,1,4,0.5195839500354336
5210.0,23,1,5,0.6310879443260529
5035.0,23,1,6,0.730835964278124
5238.0,23,1,7,0.816969893010442
5314.0,23,1,8,0.8878852184023752
5096.0,23,1,9,0.9422609221188204
4595.0,23,1,10,0.9790840876823229
4100.0,23,1,11,0.9976687691905392
3579.0,23,1,12,0.9976687691905392
3172.0,23,1,13,0.9790840876823229
3031.0,23,1,14,0.9422609221188205
3048.0,23,1,15,0.8878852184023752
3107.0,23,1,16,0.8169698930104421
3444.0,23,1,17,0.7308359642781239
3568.0,23,1,18,0.631087944326053
3405.0,23,1,19,0.5195839500354339
3145.0,23,1,20,0.3984010898462414
2998.0,23,1,21,0.2697967711570243
2803.0,23,1,22,0.1361666490962471
2847.0,23,1,23,1.2246467991473532e-16
2832.0,24,1,0,0.0
2577.0,24,1,1,0.1361666490962466
2349.0,24,1,2,0.2697967711570243
2207.0,24,1,3,0.39840108984624145
2043.0,24,1,4,0.5195839500354336
2013.0,24,1,5,0.6310879443260529
1976.0,24,1,6,0.730835964278124
2026.0,24,1,7,0.816969893010442
1874.0,24,1,8,0.8878852184023752
1567.0,24,1,9,0.9422609221188204
1211.0,24,1,10,0.9790840876823229
815.0,24,1,11,0.9976687691905392
596.0,24,1,12,0.9976687691905392
480.0,24,1,13,0.9790840876823229
380.0,24,1,14,0.9422609221188205
308.0,24,1,15,0.8878852184023752
290.0,24,1,16,0.8169698930104421
315.0,24,1,17,0.7308359642781239
381.0,24,1,18,0.631087944326053
457.0,24,1,19,0.5195839500354339
501.0,24,1,20,0.3984010898462414
566.0,24,1,21,0.2697967711570243
619.0,24,1,22,0.1361666490962471
695.0,24,1,23,1.2246467991473532e-16
792.0,25,1,0,0.0
888.0,25,1,1,0.1361666490962466
982.0,25,1,2,0.2697967711570243
1067.0,25,1,3,0.39840108984624145
1157.0,25,1,4,0.5195839500354336
1213.0,25,1,5,0.6310879443260529
1314.0,25,1,6,0.730835964278124
1462.0,25,1,7,0.816969893010442
1534.0,25,1,8,0.8878852184023752
1496.0,25,1,9,0.9422609221188204
1367.0,25,1,10,0.9790840876823229
1163.0,25,1,11,0.9976687691905392
1006.0,25,1,12,0.9976687691905392
969.0,25,1,13,0.9790840876823229
882.0,25,1,14,0.9422609221188205
902.0,25,1,15,0.8878852184023752
1034.0,25,1,16,0.8169698930104421
1308.0,25,1,17,0.7308359642781239
1551.0,25,1,18,0.631087944326053
1691.0,25,1,19,0.5195839500354339
1911.0,25,1,20,0.3984010898462414
2113.0,25,1,21,0.2697967711570243
2266.0,25,1,22,0.1361666490962471
2428.0,25,1,23,1.2246467991473532e-16
2545.0,26,1,0,0.0
2542.0,26,1,1,0.1361666490962466
2558.0,26,1,2,0.2697967711570243
2545.0,26,1,3,0.39840108984624145
2421.0,26,1,4,0.5195839500354336
2323.0,26,1,5,0.6310879443260529
2303.0,26,1,6,0.730835964278124
2345.0,26,1,7,0.816969893010442
2486.0,26,1,8,0.8878852184023752
2839.0,26,1,9,0.9422609221188204
2930.0,26,1,10,0.9790840876823229
2656.0,26,1,11,0.9976687691905392
2678.0,26,1,12,0.9976687691905392
3178.0,26,1,13,0.9790840876823229
3730.0,26,1,14,0.9422609221188205
4105.0,26,1,15,0.8878852184023752
4574.0,26,1,16,0.8169698930104421
5340.0,26,1,17,0.7308359642781239
6307.0,26,1,18,0.631087944326053
7153.0,26,1,19,0.5195839500354339
7735.0,26,1,20,0.3984010898462414
8351.0,26,1,21,0.2697967711570243
8461.0,26,1,22,0.1361666490962471
8760.0,26,1,23,1.2246467991473532e-16
8873.0,27,1,0,0.0
8862.0,27,1,1,0.1361666490962466
8491.0,27,1,2,0.2697967711570243
8262.0,27,1,3,0.39840108984624145
8193.0,27,1,4,0.5195839500354336
8140.0,27,1,5,0.6310879443260529
7954.0,27,1,6,0.730835964278124
8011.0,27,1,7,0.816969893010442
8058.0,27,1,8,0.8878852184023752
8180.0,27,1,9,0.9422609221188204
8148.0,27,1,10,0.9790840876823229
8142.0,27,1,11,0.9976687691905392
8528.0,27,1,12,0.9976687691905392
8729.0,27,1,13,0.9790840876823229
8865.0,27,1,14,0.9422609221188205
9289.0,27,1,15,0.8878852184023752
9788.0,27,1,16,0.8169698930104421
10560.0,27,1,17,0.7308359642781239
11291.0,27,1,18,0.631087944326053
12011.0,27,1,19,0.5195839500354339
11991.0,27,1,20,0.3984010898462414
11868.0,27,1,21,0.2697967711570243
11759.0,27,1,22,0.1361666490962471
11828.0,27,1,23,1.2246467991473532e-16
11983.0,28,1,0,0.0
11868.0,28,1,1,0.1361666490962466
11992.0,28,1,2,0.2697967711570243
12254.0,28,1,3,0.39840108984624145
12598.0,28,1,4,0.5195839500354336
12641.0,28,1,5,0.6310879443260529
12711.0,28,1,6,0.730835964278124
13018.0,28,1,7,0.816969893010442
12794.0,28,1,8,0.8878852184023752
12353.0,28,1,9,0.9422609221188204
12095.0,28,1,10,0.9790840876823229
12022.0,28,1,11,0.9976687691905392
12470.0,28,1,12,0.9976687691905392
12800.0,28,1,13,0.9790840876823229
12527.0,28,1,14,0.9422609221188205
11717.0,28,1,15,0.8878852184023752
11399.0,28,1,16,0.8169698930104421
10794.0,28,1,17,0.7308359642781239
10349.0,28,1,18,0.631087944326053
10846.0,28,1,19,0.5195839500354339
10853.0,28,1,20,0.3984010898462414
11003.0,28,1,21,0.2697967711570243
10723.0,28,1,22,0.1361666490962471
10246.0,28,1,23,1.2246467991473532e-16
10149.0,29,1,0,0.0
9855.0,29,1,1,0.1361666490962466
8931.0,29,1,2,0.2697967711570243
