Source,Production,dayOfYear,month_number,Hour,month_sinhalf,hour_sinhalf
1,5545.0,7,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,7,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,8,1,0,0.0,0.0
1,5705.0,8,1,0,0.0,0.0
0,0.0,8,1,1,0.25881904510252074,0.1361666490962466
1,5831.0,8,1,1,0.25881904510252074,0.1361666490962466
1,6010.0,8,1,2,0.49999999999999994,0.2697967711570243
0,0.0,8,1,2,0.49999999999999994,0.2697967711570243
1,5927.0,8,1,3,0.7071067811865476,0.39840108984624145
0,0.0,8,1,3,0.7071067811865476,0.39840108984624145
1,5686.0,8,1,4,0.8660254037844386,0.5195839500354336
0,0.0,8,1,4,0.8660254037844386,0.5195839500354336
0,0.0,8,1,5,0.9659258262890683,0.6310879443260529
1,5387.0,8,1,5,0.9659258262890683,0.6310879443260529
0,0.0,8,1,6,1.0,0.730835964278124
1,5250.0,8,1,6,1.0,0.730835964278124
1,4944.0,8,1,7,0.9659258262890683,0.816969893010442
0,0.0,8,1,7,0.9659258262890683,0.816969893010442
0,30.0,8,1,8,0.8660254037844387,0.8878852184023752
1,4635.0,8,1,8,0.8660254037844387,0.8878852184023752
1,4262.0,8,1,9,0.7071067811865476,0.9422609221188204
0,376.0,8,1,9,0.7071067811865476,0.9422609221188204
1,3849.0,8,1,10,0.49999999999999994,0.9790840876823229
0,961.0,8,1,10,0.49999999999999994,0.9790840876823229
1,3428.0,8,1,11,0.258819045102521,0.9976687691905392
0,1380.0,8,1,11,0.258819045102521,0.9976687691905392
1,3430.0,8,1,12,1.2246467991473532e-16,0.9976687691905392
0,1597.0,8,1,12,1.2246467991473532e-16,0.9976687691905392
1,3262.0,8,1,13,-0.2588190451025208,0.9790840876823229
0,1673.0,8,1,13,-0.2588190451025208,0.9790840876823229
0,1512.0,8,1,14,-0.4999999999999997,0.9422609221188205
1,2912.0,8,1,14,-0.4999999999999997,0.9422609221188205
1,2689.0,8,1,15,-0.7071067811865471,0.8878852184023752
0,1113.0,8,1,15,-0.7071067811865471,0.8878852184023752
1,2663.0,8,1,16,-0.8660254037844385,0.8169698930104421
